SCF Domain,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description",SCF Control Question,Evidence
Cybersecurity & Data Protection Governance,Cybersecurity & Data Protection Governance Program ,FII-SCF-GOV-0001,Mechanisms exist to facilitate the implementation of cybersecurity & data protection governance controls.,Does the organization facilitate the implementation of cybersecurity & data protection governance controls?,Information security policy and Data protection policy
Cybersecurity & Data Protection Governance,Steering Committee & Program Oversight,FII-SCF-GOV-0001.1,"Mechanisms exist to coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data privacy and business executives, which meets formally and on a regular basis.","Does the organization coordinate cybersecurity, data protection and business alignment through a steering committee or advisory board, comprised of key cybersecurity, data privacy and business executives, which meets formally and on a regular basis?",Information security policy and the list of Advisory board members/steering commitee
Cybersecurity & Data Protection Governance,Status Reporting To Governing Body,FII-SCF-GOV-0001.2,Mechanisms exist to provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to the organization's cybersecurity & data protection program.,Does the organization provide governance oversight reporting and recommendations to those entrusted to make executive decisions about matters considered material to its cybersecurity & data protection program?,"Policies for information security, Meeting minutes and Risk assessment reports"
Cybersecurity & Data Protection Governance,Publishing Cybersecurity & Data Protection Documentation ,FII-SCF-GOV-0002,"Mechanisms exist to establish, maintain and disseminate cybersecurity & data protection policies, standards and procedures.","Does the organization establish, maintain and disseminate cybersecurity & data protection policies, standards and procedures?","Cybersecurity and Data Privacy Policy Framework – A master document that defines the process for creating, updating, and managing policies, including guidelines for version control."
Cybersecurity & Data Protection Governance,Periodic Review & Update of Cybersecurity & Data Protection Program,FII-SCF-GOV-0003,"Mechanisms exist to review the cybersecurity & data privacy program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness. ","Does the organization review the cybersecurity & data privacy program, including policies, standards and procedures, at planned intervals or if significant changes occur to ensure their continuing suitability, adequacy and effectiveness? ","Revision history of information security and data protection policies, analysis reports supporting the revisions and control test reports."
Cybersecurity & Data Protection Governance,Assigned Cybersecurity & Data Protection Responsibilities ,FII-SCF-GOV-0004,"Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity & data protection program. ","Does the organization assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide cybersecurity & data protection program? ","Information security policy outlining the roles and responsibilities for centrally managing, coordinating, developing, implementing, and maintaining an organization-wide cybersecurity and data protection program."
Cybersecurity & Data Protection Governance,Measures of Performance ,FII-SCF-GOV-0005,"Mechanisms exist to develop, report and monitor cybersecurity & data privacy program measures of performance.","Does the organization develop, report and monitor cybersecurity & data privacy program measures of performance?",Analytical reports supporting the revision of policies and procedures and the information security policy.
Cybersecurity & Data Protection Governance,Defining Business Context & Mission,FII-SCF-GOV-0008,Mechanisms exist to define the context of its business model and document the organization's mission.,Does the organization define the context of its business model and document the mission of the organization?,Document Outlining the Context and Scope of the ISMS
Cybersecurity & Data Protection Governance,Define Control Objectives,FII-SCF-GOV-0009,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization's internal control system.","Does the organization establish control objectives as the basis for the selection, implementation and management of its internal control system?","Statement of Applicability, Risk Assessment and Treatment Plan and Information Security Policy."
Cybersecurity & Data Protection Governance,Monitor Controls,FII-SCF-GOV-0015.5,"Mechanisms exist to compel data and/or process owners to monitor systems, applications and/or services under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity & data privacy controls are operating as intended.","Does the organization compel data and/or process owners to monitor systems, applications and/or services under their control on an ongoing basis for applicable threats and risks, as well as to ensure cybersecurity & data privacy controls are operating as intended?","Information security policy outlining roles and responsibilities related to ISMS, data protection policies and procedures, a list of implemented tools and measures for information security and data protection and evidence from monitoring tools."
Asset Management,Stakeholder Identification & Involvement,FII-SCF-AST-0001.2,"Mechanisms exist to identify and involve pertinent stakeholders of critical systems, applications and services to support the ongoing secure management of those assets.","Does the organization identify and involve pertinent stakeholders of critical systems, applications and services to support the ongoing secure management of those assets?","List of internal and external stakeholders for critical systems and services, documentation of their involvement, and records of asset ownership."
Asset Management,Asset Scope Classification,FII-SCF-AST-0004.1,"Mechanisms exist to determine cybersecurity & data privacy control applicability by identifying, assigning and documenting the appropriate asset scope categorization for all systems, applications, services and personnel (internal and third-parties).","Does the organization determine cybersecurity & data privacy control applicability by identifying, assigning and documenting the appropriate asset scope categorization for all systems, applications, services and personnel (internal and third-parties)?","Asset inventory, data classification policy, statement of applicability (SoA) and policies for the acceptable use of information and related assets."
Change Management,Change Management Program ,FII-SCF-CHG-0001,Mechanisms exist to facilitate the implementation of a change management program.,Does the organization facilitate the implementation of a change management program?,"Change Management Policy, Change Management Tools and Logs from Change Management Tools"
Cloud Security,Customer Responsibility Matrix (CRM),FII-SCF-CLD-0006.1,"Mechanisms exist to formally document a Customer Responsibility Matrix (CRM), delineating assigned responsibilities for controls between the Cloud Service Provider (CSP) and its customers.","Does the organization formally document a Customer Responsibility Matrix (CRM), delineating assigned responsibilities for controls between the Cloud Service Provider (CSP) and its customers?","CRM documentation, cloud service agreements, vendor risk assessment report and Statement of Applicability (SoA)	"
Compliance,"Statutory, Regulatory & Contractual Compliance ",FII-SCF-CPL-0001,"Mechanisms exist to facilitate the identification and implementation of relevant statutory, regulatory and contractual controls.","Does the organization facilitate the identification and implementation of relevant statutory, regulatory and contractual controls?","List of applicable laws, regulations, standards, and contracts; gap assessment reports and security clauses included in vendor or customer contracts."
Compliance,Non-Compliance Oversight,FII-SCF-CPL-0001.1,"Mechanisms exist to document and review instances of non-compliance with statutory, regulatory and/or contractual obligations to develop appropriate risk mitigation actions.","Does the organization document and review instances of non-compliance with statutory, regulatory and/or contractual obligations to develop appropriate risk mitigation actions?","Compliance audit and gap analysis reports, log of non-compliance incidents with legal/ regulatory, or contractual requirements and risk register updates."
Compliance,Compliance Scope,FII-SCF-CPL-0001.2,"Mechanisms exist to document and validate the scope of cybersecurity & data privacy controls that are determined to meet statutory, regulatory and/or contractual compliance obligations.","Does the organization document and validate the scope of cybersecurity & data privacy controls that are determined to meet statutory, regulatory and/or contractual compliance obligations?",ISMS Scope Document and Statement of Applicability (SoA)
Compliance,Cybersecurity & Data Protection Controls Oversight ,FII-SCF-CPL-0002,Mechanisms exist to provide a cybersecurity & data protection controls oversight function that reports to the organization's executive leadership.,Does the organization provide a cybersecurity & data protection controls oversight function that reports to its executive leadership?,"Organization Chart / Role Descriptions, ISMS Governance Framework"
Compliance,Internal Audit Function,FII-SCF-CPL-0002.1,Mechanisms exist to implement an internal audit function that is capable of providing senior organization management with insights into the appropriateness of the organization's technology and information governance processes.,Does the organization implement an internal audit function that is capable of providing senior organization management with insights into the appropriateness of its technology and information governance processes?,Internal audit program documentation and Information security policy outlining roles and responsibilities
Compliance,Cybersecurity & Data Protection Assessments ,FII-SCF-CPL-0003,"Mechanisms exist to ensure managers regularly review the processes and documented procedures within their area of responsibility to adhere to appropriate cybersecurity & data protection policies, standards and other applicable requirements.","Does the organization ensure managers regularly review the processes and documented procedures within their area of responsibility to adhere to appropriate cybersecurity & data protection policies, standards and other applicable requirements?",Revision history of processes and procedures and  documentation of management review
Human Resources Security,Human Resources Security Management,FII-SCF-HRS-0001,Mechanisms exist to facilitate the implementation of personnel security controls.,Does the organization facilitate the implementation of personnel security controls?,"Written policies detailing how the organization handles background checks, security training, and ongoing personnel monitoring, background check reports and access control records."
Human Resources Security,Position Categorization ,FII-SCF-HRS-0002,Mechanisms exist to manage personnel security risk by assigning a risk designation to all positions and establishing screening criteria for individuals filling those positions.,Does the organization manage personnel security risk by assigning a risk designation to all positions and establishing screening criteria for individuals filling those positions?,"Insider risk management measures or screening procedures, and background check reports."
Human Resources Security,Defined Roles & Responsibilities ,FII-SCF-HRS-0003,Mechanisms exist to define cybersecurity roles & responsibilities for all personnel. ,Does the organization define cybersecurity roles & responsibilities for all personnel?,"Organizational Charts, Job Descriptions and information security training Training Records"
Human Resources Security,User Awareness ,FII-SCF-HRS-0003.1,Mechanisms exist to communicate with users about their roles and responsibilities to maintain a safe and secure working environment.,Does the organization communicate with users about their roles and responsibilities to maintain a safe and secure working environment?,"Information security policies for employees and contractors, Information security awareness and training records."
Human Resources Security,Competency Requirements for Security-Related Positions,FII-SCF-HRS-0003.2,Mechanisms exist to ensure that all security-related positions are staffed by qualified individuals who have the necessary skill set. ,Does the organization ensure that all security-related positions are staffed by qualified individuals who have the necessary skill set? ,"Job Descriptions, Resumes and security training Recordsor Certification records of employees."
