#,Control Identifier,Fii ID,Common Criteria,Common Criteria type,Name,Questions Descriptions
1,CC1-0001,FII-SCF-HRS-0005,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Employee Manual or Handbook,Are core values communicated from executive management to personnel through policies and the employee handbook?
2,CC1-0002,FII-SCF-HRS-0003,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Organizational chart,Is management's organizational structure with relevant reporting lines documented in an organization chart ?
3,CC1-0003,FII-SCF-GOV-0004,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,"Including Privacy Officer and one executive position, i.e. CISO, CEO, CTO, CIO, and CFO?",Can management provide a sample of (5) company job descriptions?
4,CC1-0004,FII-SCF-HRS-0005.1,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Employee Manual or Handbook,"Is there an employee handbook in place, and does it include the organization's entity values and behavioral standards? If yes, how is it made available for all employees?"
5,CC1-0005,FII-SCF-HRS-0004,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Hiring procedures,Has management documented formal HR procedures that include the employee on-boarding process?
6,CC1-0006,FII-SCF-HRS-0004,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Hiring checklist for a sample of employees,Are new hire checklists utilized and activities documented to help facilitate new hire procedures?
7,CC1-0007,FII-SCF-HRS-0009.3,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Evidence that a third party (if a third party is used for recruiting) or Hiring Policy,"How are candidates recruited for job openings? Evidence could include the recruitment policies and procedures; a PowerPoint deck, a questionnaire, job opening postings, or emails."
8,CC1-0008,FII-SCF-HRS-0004.2,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Evidence that Continued Professional Education Training is tracked and monitored for employees (e.g. tracking tool / spreadsheet),Are there any requirements for Continued Professional Education Training among employees?
9,CC1-0009,FII-SCF-SAT-0002,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Evidence could include a mentor program guide or a PowerPoint deck or emails,Is there a mentor program to develop personnel in place?
10,CC1-0010,FII-SCF-HRS-0009,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Termination procedures,Has management documented formal HR procedures that include employee terminations?
11,CC1-0011,FII-SCF-HRS-0009.2,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Termination checklist for a sample of employees,Are termination checklists utilized and activities documented to facilitate termination procedures?
12,CC1-0012,FII-SCF-HRS-0002,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,"Listing of Executive Management (e.g. President, CIO, CTO, CEO, CFO, etc.) Members",Can you provide a listing of executive management members?
13,CC1-0013,FII-SCF-HRS-0003.2,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,"
Evidence could include performance evaluation forms, tracking tool/spreadsheet, or certificates","Are formal performance evaluations completed and documented?  If yes, on what frequency and does this apply to all personnel? This includes executive management members such as CIO, CTO, CEO."
14,CC1-0014,FII-SCF-GOV-0005,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Employee training documentation,Do employees complete periodic information security training?
15,CC1-0015,FII-SCF-GOV-0005.1,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Evidence of cross-training employees,Are employees cross-trained in roles and responsibilities? Evidence could include training materials; policies and procedures relating to training requirements; PowerPoint deck
16,CC1-0016,FII-SCF-HRS-0005.1,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Evidence of anonymous hotline in place (whistleblower line),Is there an employee hotline in place?
17,CC1-0017,FII-SCF-HRS-0006.1,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,"Policies/procedures on reporting unethical behavior, emails on reporting unethical behavior, PowerPoint deck, website","Are employees, third-parties, and customers directed on how to report unethical behavior in a confidential manner?"
18,CC1-0018,FII-SCF-HRS-0011,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,"Internal Controls Matrix that includes:
- a list of the internal controls implemented within the environment and technology infrastructure
- who owns and operates each of the internal controls in place
- the type of control (manual, automated, preventive, detective, corrective) 
- frequency control operates (daily, weekly, monthly, quarterly, yearly, multiple times a day)
- documenting the relationship and linkage between business processes, the relevant technologies used to support the business processes, and the controls in place to help secure those business processes","Does management maintain an Internal Controls Matrix?

Internal Controls Matrix that includes:
- a list of the internal controls implemented within the environment and technology infrastructure
- who owns and operates each of the internal controls in place
- the type of control (manual, automated, preventive, detective, corrective) 
- frequency control operates (daily, weekly, monthly, quarterly, yearly, multiple times a day)
- documenting the relationship and linkage between business processes, the relevant technologies used to support the business processes, and the controls in place to help secure those business processes"
