#,Control Identifier,Fii ID,Common Criteria,Common Criteria type,Name,Questions Descriptions
1,CC1-0001,FII-SCF-HRS-0005,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Employee Handbook,"Employee manual or handbook and code of conduct (if separate) with revision history, including sanction policies and performance evaluation policies"
2,CC1-0002,FII-SCF-GOV-0004,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Executive job descriptions,"Job descriptions that define (1) the role and responsibilities and (2) the skills and expertise needed of executive management (e.g. President, CIO, CTO, CEO, CFO, etc.) Please provide evidence of executive management job postings if available as well"
3,CC1-0003,FII-SCF-HRS-0003,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Org Chart,Organizational chart with revision history
4,CC1-0004,FII-SCF-IRO-0012,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Information Security Policy,Information security policies and procedures (including hiring and termination procedures; logging procedures; monitoring procedures) with revision history
5,CC1-0005,FII-SCF-TPM-0002,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Policies posted to intranet,"Screenshot showing key policies and procedures (e.g. Information Security, Change Management, Incident Management) and the code of conduct/employee handbook were available to employees via company intranet or shared drive"
6,CC1-0006,FII-SCF-HRS-0004,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,List of new hires,Listing of all personnel hired during the audit period
7,CC1-0007,FII-SCF-HRS-0005,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Signed handbook for new hires (sample),Signed employee handbook and code of conduct acknowledgements for a sample of new hires
8,CC1-0008,FII-SCF-HRS-0004,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,List of employees,"Listing of all current employees, including executive management"
9,CC1-0009,FII-SCF-HRS-0003.2,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Employee competency review (sample),"For a sample of current employees, evidence that competencies and skills evaluations were performed annually. Evidence could include evaluation forms, tracking tool/spreadsheet, or certificates
"
10,CC1-0010,FII-SCF-TPM-0001,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Vendor list,Listing of business partners / third parties / vendors / service providers
11,CC1-0011,FII-SCF-GOV-0004,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Annual review of Executive job descriptions,"Evidence that job descriptions of executive management (e.g. President, CIO, CTO, CEO, CFO, etc.) are reviewed annually. Evidence could include a revision date on the job descriptions, emails, signoffs on the job descriptions"
12,CC1-0012,FII-SCF-HRS-0011,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Internal Controls Matrix,"Internal Controls Matrix that includes:
- a list of the internal controls implemented within the environment and technology infrastructure
- who owns and operates each of the internal controls in place
- the type of control (manual, automated, preventive, detective, corrective) 
- frequency control operates (daily, weekly, monthly, quarterly, yearly, multiple times a day)
- documenting the relationship and linkage between business processes, the relevant technologies used to support the business processes, and the controls in place to help secure those business processes"
13,CC1-0013,FII-SCF-GOV-0001.1,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Management internal controls performance meeting,"Evidence (e.g. meeting minutes, reports, notes, PowerPoint deck, emails, etc.) that executive management met with operational management annually to assess the effectiveness and performance of internal controls within the environment"
14,CC1-0014,FII-SCF-HRS-0003,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Job descriptions posted to intranet,Screenshot showing job descriptions were available to employees via company intranet or shared drive
15,CC1-0015,FII-SCF-SAT-0001,CC1 - Common Criteria Related to Control Environment,CC1 Key Controls,Information Security Awareness Training,Evidence of the information security and awareness training program created for employees. Evidence could include PowerPoint deck or the actual training program materials/documentation
16,CC1-0016,FII-SCF-HRS-0004,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Background checks for new hires (sample),Completed background checks for a sample of new hires
17,CC1-0017,FII-SCF-HRS-0006.1,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Medium to report unethical behavior,"Evidence that employees, third-parties, and customers are directed on how to report unethical behavior in a confidential manner, such as an anonymous hotline phone number or anonymous e-mail address box.  (e.g. policies/procedures on reporting unethical behavior, emails on reporting unethical behavior, PowerPoint deck, website)"
18,CC1-0018,FII-SCF-BCD-0010.1,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Third party contract template,"Third party agreement / contract template that third parties/vendors/service providers sign. Ensure agreement / contract includes: 
-Terms and conditions
- Third party commitments, requirements and responsibilities
- Entity commitments, requirements and responsibilities
- How to report incidents, failures, complaints
- Training
- Causes for Termination"
19,CC1-0019,FII-SCF-BCD-0010.1,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Sample of third party contracts (sample),"Contract (third party agreement) for a sample of third-parties/vendors/service providers
"
20,CC1-0020,FII-SCF-HRS-0003.2,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Performance Reviews (sample),"For a sample of current employees, evidence that a performance and conduct evaluation was performed annually. Evidence could include performance and conduct evaluation forms, a tracking tool/spreadsheet, or certificates"
21,CC1-0021,FII-SCF-TPM-0001,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Vendor SOC Reports,"Attestation report (e.g. PCI, SOC, ISO) for third party / vendor / service providers"
22,CC1-0022,FII-SCF-GOV-0004,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Job description annual review (sample),A sample of job descriptions including evidence the job descriptions were reviewed annually
23,CC1-0023,FII-SCF-TPM-0001,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Vendor risk assessment policy,Vendor risk assessment policies and procedures with revision history
24,CC1-0024,FII-SCF-HRS-0010,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Vendor risk assessment,"Most recently completed vendor risk assessment
Vendor risk assessment evidence should include:
- documenting the operations / responsibilities / activities of the third party/vendor/service provider
- documenting the threats and vulnerabilities arising from customers, vendors and third-parties.
- identifying and documenting the risks relating to the vulnerabilities
- addressing / mitigating the identified risks 
- assigning responsibility for remediation efforts
- management review/sign off on the vendor risk assessment"
25,CC1-0025,FII-SCF-HRS-0004,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Competency review for new hires (sample),"For a sample of new hires, evidence that competencies, skills, and experiences were evaluated prior to hiring, and how candidates are recruited for job openings. Evidence could include the new hire's resume, interview notes/comments, hiring checklist, interview questionnaire, job application, certificates"
26,CC1-0026,FII-SCF-HRS-0010,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Competency review for vendors (sample),"For a sample of business partners / third parties / vendors, evidence that competencies, skills, and experiences were evaluated prior to working with them. Evidence could include obtaining and reviewing the third party's resume or request for proposal, questionnaire, website, or it could be part of a vendor risk assessment"
27,CC1-0027,FII-SCF-GOV-0005,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Current employee training,"For current employees, evidence of annual training completed relating to job role and responsibilities."
28,CC1-0028,FII-SCF-GOV-0005.1,CC1 - Common Criteria Related to Control Environment,CC1 Supporting Controls,Current employee cross-training,Evidence that employees are cross-trained in roles and responsibilities. Evidence could include training materials; policies and procedures relating to training requirements; PowerPoint deck
