#,Control Identifier,Fii ID,Common Criteria,Name,Description
1,0113.04a1Organizational.2,FII-SCF-IRO-0012,Information Protection Program,Information security policy,"The organization’s information security policy is developed, published, disseminated, and implemented. The information security policy documents: state the purpose and scope of the policy; communicate management’s commitment; describe management and workforce members’ roles and responsibilities; and establish the organization’s approach to managing information security."
2,0226.09k1Organizational.2,FII-SCF-END-0004.2,Endpoint Protection,Endpoint Protection / Remote Access Policy / Access Control Policy,"The organization implements and regularly updates mobile code protection, including anti-virus and anti-spyware."
3,0304.09o1Organizational.2,FII-SCF-DCH-0012,Portable Media Security,Removable Media Policy,"The organization restricts the use of writable, removable media and personally owned, removable media in organizational systems."
4,04.01x1Organizational.5,FII-SCF-CPL-0002,Mobile Device Security,Data Privacy Policy/ Mobile Device Security Policy,"The organization identifies and encrypts mobile devices and mobile computing platforms that process, store, or transmit sensitive information."
5,0502.09m1Organizational.5,FII-SCF-NET-0001,Wireless Security,Wireless Security Policy/ Network Management Policy,"The organization ensures wireless access is explicitly approved and wireless access points and devices have appropriate (e.g., minimum of AES WPA2) encryption enabled for authentication and transmission."
6,06.09b1System.2,FII-SCF-CFG-0001,Configuration Management,Configuration Management Policy/ Asset Management Policy,"Changes to information systems (including changes to applications, databases, configurations, network devices, and operating systems and with the potential exception of automated security patches) are consistently documented, tested, and approved."
7,0627.10h1System.45,FII-SCF-CFG-0001,Configuration Management,Configuration Management Policy/ Asset Management Policy,Vendor supplied software used in operational systems is maintained at a level supported by the supplier and uses the latest version of Web browsers on operational systems to take advantage of the latest security functions. The organization maintains information systems according to a current baseline configuration and configures system security parameters to prevent misuse.
8,07.07a1Organizational.8,FII-SCF-BCD-0002,Vulnerability Management,Vulnerability Management Policy/ Systems Monitoring And Auditing / Business Continuity Plan,Organizational inventories of IT assets are periodically (annually at minimum) reviewed to ensure completeness and accuracy.
9,07.10m1Organizational.2,FII-SCF-BCD-0002,Vulnerability Management,Vulnerability Management Policy/ Systems Monitoring And Auditing / Business Continuity Plan,The organization deploys automated software update tools in order to ensure that systems are running the most recent security updates provided by the software vendor and installs software updates manually for systems that do not support automated software updates.
10,07.10m1Organizational.3,FII-SCF-MON-0001,Vulnerability Management,Vulnerability Management Policy/ Systems Monitoring And Auditing / Business Continuity Plan,Information systems are periodically scanned to proactively (annually at minimum) identify technical vulnerabilities.
11,0701.07a1Organizational.7,FII-SCF-AST-0001.2,Vulnerability Management,Vulnerability Management Policy/ Asset Management Policy,"The organization identifies and inventories all assets including information (e.g., PII), encrypted or unencrypted, wherever it is created, received, maintained, or transmitted (including organizational and third-party sites). The organization documents the importance of these inventoried assets. The asset inventory includes: all systems connected to the network; the network devices themselves; desktops; servers; network equipment (routers, switches, firewalls, etc.); printers; storage area networks; Voice Over-IP telephones; multi-homed addresses; virtual addresses; mobile phones, regardless of whether they are attached to the organization’s network; tablets, regardless of whether they are attached to the organization’s network; laptops, regardless of whether they are attached to the organization’s network; other portable electronic devices [i.e., other than mobile phones, tablets, and laptops] that store or process data, regardless of whether they are attached to the organization’s network; and approved bring your own device (BYOD) equipment."
